ranking,waku,umaban,bamei,bamei_url,sexage,handicap,jockey,jockey_url,racetime,difference,popular,odds,furlong3,corner_rank,stable,trainer,trainer_url,weight,weight_change,race_id
2,3,6,サンストックトン,https://db.netkeiba.com/horse/2019101422,牡2,55.0,横山武,https://db.netkeiba.com/jockey/01170/,2:00.7,3/4,1,2.8,34.8,2-2-2-2,美浦,鹿戸,https://db.netkeiba.com/trainer/01097/,452,-2,202106040804
3,6,12,キスアンドテル,https://db.netkeiba.com/horse/2019110047,牝2,54.0,Ｍデム,https://db.netkeiba.com/jockey/05212/,2:02.0,8,6,16.6,35.6,7-7-5-6,美浦,金成,https://db.netkeiba.com/trainer/01132/,494,-2,202106040804
4,5,9,ウロボン,https://db.netkeiba.com/horse/2019104352,牡2,55.0,菅原明,https://db.netkeiba.com/jockey/01179/,2:02.0,ハナ,4,6.9,35.3,11-11-9-8,美浦,武井,https://db.netkeiba.com/trainer/01147/,456,+4,202106040804
5,4,8,スリーエクスプレス,https://db.netkeiba.com/horse/2019105979,牡2,55.0,三浦,https://db.netkeiba.com/jockey/01122/,2:02.0,クビ,3,5.9,35.4,9-9-9-6,美浦,伊藤圭,https://db.netkeiba.com/trainer/01023/,484,-4,202106040804
6,5,10,ヴァプンアート,https://db.netkeiba.com/horse/2019101070,牡2,55.0,戸崎圭,https://db.netkeiba.com/jockey/05386/,2:02.4,2.1/2,5,8.1,36.0,13-13-5-4,美浦,堀井,https://db.netkeiba.com/trainer/00436/,452,+4,202106040804
7,1,1,コスモフロイデ,https://db.netkeiba.com/horse/2019102937,牡2,55.0,柴田大,https://db.netkeiba.com/jockey/01009/,2:02.7,2,7,35.0,35.5,15-15-15-14,美浦,天間,https://db.netkeiba.com/trainer/01090/,454,+4,202106040804
8,1,2,タッチフラッシュ,https://db.netkeiba.com/horse/2019103508,牡2,55.0,木幡巧,https://db.netkeiba.com/jockey/01162/,2:02.8,クビ,10,115.3,36.2,9-10-9-8,美浦,尾形,https://db.netkeiba.com/trainer/01141/,468,+8,202106040804
9,8,15,ハリソンテソーロ,https://db.netkeiba.com/horse/2019104862,牡2,55.0,横山和,https://db.netkeiba.com/jockey/01140/,2:03.0,1.1/2,8,80.8,36.1,13-14-13-12,美浦,畠山,https://db.netkeiba.com/trainer/01048/,520,-4,202106040804
10,2,3,ミュステーリオン,https://db.netkeiba.com/horse/2019100766,牝2,54.0,丹内,https://db.netkeiba.com/jockey/01091/,2:03.0,ハナ,9,83.9,37.3,1-1-1-1,美浦,伊坂,https://db.netkeiba.com/trainer/01177/,462,-8,202106040804
11,3,5,ウインドエラ,https://db.netkeiba.com/horse/2019103390,牝2,54.0,杉原,https://db.netkeiba.com/jockey/01135/,2:03.3,2,12,227.6,37.3,2-2-2-4,美浦,尾関,https://db.netkeiba.com/trainer/01103/,438,+4,202106040804
12,2,4,グランシャーク,https://db.netkeiba.com/horse/2019109053,牡2,52.0,▲永野,https://db.netkeiba.com/jockey/01188/,2:03.8,3,15,389.7,37.2,7-7-9-12,美浦,田島,https://db.netkeiba.com/trainer/01112/,492,0,202106040804
13,7,14,イエローウィン,https://db.netkeiba.com/horse/2019104321,牝2,54.0,野中,https://db.netkeiba.com/jockey/01158/,2:03.8,ハナ,13,306.8,37.4,6-6-5-11,美浦,菊川,https://db.netkeiba.com/trainer/01052/,462,-8,202106040804
14,8,16,ブルーシグナル,https://db.netkeiba.com/horse/2019103344,牡2,52.0,▲横山琉,https://db.netkeiba.com/jockey/01192/,2:03.8,ハナ,14,383.7,37.0,11-11-13-14,美浦,和田雄,https://db.netkeiba.com/trainer/01143/,440,+12,202106040804
15,4,7,プリンスミノル,https://db.netkeiba.com/horse/2019106027,牡2,55.0,大野,https://db.netkeiba.com/jockey/01096/,2:04.4,3.1/2,11,185.4,38.1,4-4-5-8,美浦,中舘,https://db.netkeiba.com/trainer/01153/,444,0,202106040804
1,2,3,ガルブグリーン,https://db.netkeiba.com/horse/2019102206,牝2,51.0,▲横山琉,https://db.netkeiba.com/jockey/01192/,1:38.1,,13,176.3,34.8,1-1-1,美浦,相沢,https://db.netkeiba.com/trainer/01020/,442,0,202106040805
